song_id,song,performer,first_week_on_chart,last_week_on_chart,weeks_on_chart,highest_position,lowest_position,spotify_track_duration_ms,spotify_track_explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
100 GrandkidsMac Miller,100 Grandkids,Mac Miller,2015-08-29,2015-08-29,1,100,100,278506.0,True,0.735,0.749,10.0,-3.766,0.0,0.0874,0.371,0.0,0.47,0.373,93.718,4.0
100The Game Featuring Drake,100,The Game Featuring Drake,2015-08-22,2015-11-14,10,82,100,334360.0,True,0.801,0.521,4.0,-9.871,0.0,0.28,0.0136,0.0,0.179,0.412,108.025,4.0
1400 / 999 FreestyleTrippie Redd Featuring Juice WRLD,1400 / 999 Freestyle,Trippie Redd Featuring Juice WRLD,2018-11-24,2018-12-08,3,55,72,175954.0,True,0.825,0.572,6.0,-6.067,0.0,0.0864,0.0079,0.0,0.113,0.568,141.991,4.0
143Bobby Brackins Featuring Ray J,143,Bobby Brackins Featuring Ray J,2010-07-03,2010-09-11,11,76,99,206813.0,True,0.834,0.758,11.0,-7.135,1.0,0.106,0.0113,0.0,0.0238,0.759,98.021,4.0
17 AgainBrantley Gilbert,17 Again,Brantley Gilbert,2014-05-24,2014-05-24,1,90,90,239773.0,False,0.432,0.872,1.0,-4.911,1.0,0.0358,0.0108,1.14e-05,0.372,0.67,173.945,4.0
18One Direction,18,One Direction,2014-11-29,2014-11-29,1,87,87,248360.0,False,0.681,0.582,6.0,-7.76,0.0,0.0313,0.22,0.0,0.119,0.221,124.038,4.0
19 You + MeDan + Shay,19 You + Me,Dan + Shay,2014-01-18,2014-05-17,18,42,96,217406.0,False,0.493,0.67,6.0,-5.131,1.0,0.0298,0.319,0.0,0.102,0.451,151.989,3.0
1901Phoenix,1901,Phoenix,2010-01-02,2010-04-03,13,84,99,193106.0,False,0.591,0.831,0.0,-5.647,1.0,0.0415,0.0605,4.67e-05,0.19,0.705,144.084,4.0
1942 FlowsMeek Mill,1942 Flows,Meek Mill,2017-08-12,2017-08-12,1,83,83,282666.0,True,0.63,0.628,2.0,-4.016,1.0,0.327,0.0515,0.0,0.091,0.266,121.307,5.0
1942G-Eazy Featuring Yo Gotti & YBN Nahmir,1942,G-Eazy Featuring Yo Gotti & YBN Nahmir,2018-07-28,2018-09-15,8,70,96,213080.0,True,0.817,0.646,4.0,-5.12,0.0,0.249,0.0152,0.0,0.125,0.835,162.898,4.0
1985 (Intro To The Fall Off)J. Cole,1985 (Intro To The Fall Off),J. Cole,2018-05-05,2018-05-12,2,20,79,190176.0,True,0.678,0.648,2.0,-5.892,1.0,0.445,0.147,0.0,0.182,0.635,94.336,4.0
1994Jason Aldean,1994,Jason Aldean,2013-03-30,2013-06-08,11,52,94,242680.0,False,0.598,0.777,11.0,-6.676,0.0,0.0396,0.183,0.0,0.111,0.821,159.942,4.0
1999Prince,1999,Prince,2016-05-07,2016-05-14,30,27,41,379266.0,False,0.866,0.73,5.0,-8.201,1.0,0.0767,0.137,0.0,0.0843,0.625,118.523,4.0
2 OnTinashe Featuring ScHoolboy Q,2 On,Tinashe Featuring ScHoolboy Q,2014-05-24,2014-11-01,24,24,89,227000.0,True,0.742,0.595,9.0,-7.51,1.0,0.107,0.15,0.0,0.111,0.431,101.013,4.0
2 PhonesKevin Gates,2 Phones,Kevin Gates,2016-01-23,2016-07-09,25,17,93,240000.0,True,0.895,0.681,7.0,-5.267,0.0,0.358,0.157,0.0,0.189,0.554,121.918,4.0
2 ReasonsTrey Songz Featuring T.I.,2 Reasons,Trey Songz Featuring T.I.,2012-07-21,2012-12-01,20,43,97,197626.0,True,0.734,0.746,11.0,-5.088,1.0,0.0762,0.00135,0.0,0.178,0.539,94.033,4.0
2012 (It Ain't The End)Jay Sean Featuring Nicki Minaj,2012 (It Ain't The End),Jay Sean Featuring Nicki Minaj,2010-08-21,2010-11-20,14,31,88,222200.0,False,0.718,0.801,0.0,-2.581,1.0,0.0386,0.226,0.0,0.39,0.538,127.016,4.0
21st Century GirlWillow,21st Century Girl,Willow,2011-03-19,2011-03-19,1,99,99,183144.0,False,0.832,0.823,9.0,-6.097,1.0,0.0385,0.02,0.84,0.148,0.438,127.985,4.0
223'sYNW Melly & 9lokknine,223's,YNW Melly & 9lokknine,2019-09-21,2019-12-28,15,34,91,176640.0,True,0.932,0.547,0.0,-7.787,0.0,0.333,0.0388,0.0,0.0924,0.695,94.998,4.0
22Taylor Swift,22,Taylor Swift,2012-11-10,2013-07-27,20,20,84,230133.0,False,0.664,0.739,7.0,-6.539,1.0,0.0377,0.0027,0.00273,0.0742,0.703,104.012,4.0
"23Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J",23,"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J",2013-09-28,2014-03-08,23,11,70,252520.0,True,0.863,0.605,2.0,-5.231,1.0,0.0572,0.000366,3.71e-06,0.132,0.327,140.031,4.0
24 HoursTeeFLii Featuring 2 Chainz,24 Hours,TeeFLii Featuring 2 Chainz,2014-09-13,2014-10-25,7,85,97,215986.0,True,0.833,0.638,1.0,-9.119,1.0,0.0441,0.0392,4.83e-06,0.173,0.399,100.01,4.0
24/7Meek Mill Featuring Ella Mai,24/7,Meek Mill Featuring Ella Mai,2018-12-15,2019-08-24,19,54,97,,,,,,,,,,,,,,
24K MagicBruno Mars,24K Magic,Bruno Mars,2016-10-29,2017-08-05,41,4,50,225983.0,False,0.818,0.803,1.0,-4.282,1.0,0.0797,0.034,0.0,0.153,0.632,106.97,4.0
25 To LifeEminem,25 To Life,Eminem,2010-07-10,2010-07-10,1,92,92,241586.0,True,0.701,0.931,8.0,-0.945,0.0,0.243,0.239,0.0,0.194,0.362,79.996,4.0
2UDavid Guetta Featuring Justin Bieber,2U,David Guetta Featuring Justin Bieber,2017-07-01,2017-09-09,11,16,73,194906.0,False,0.542,0.654,8.0,-5.862,0.0,0.0537,0.23,0.0,0.241,0.563,144.971,4.0
3 Headed SnakeGunna Featuring Young Thug,3 Headed Snake,Gunna Featuring Young Thug,2019-03-09,2019-03-09,1,74,74,241995.0,True,0.914,0.415,6.0,-10.708,1.0,0.464,0.0536,0.0,0.131,0.646,135.03,4.0
30 For 30 FreestyleDrake,30 For 30 Freestyle,Drake,2015-10-10,2015-10-17,2,88,92,253934.0,True,0.707,0.619,4.0,-9.143,0.0,0.409,0.671,0.0,0.123,0.317,88.955,4.0
31 DaysFuture,31 Days,Future,2018-07-21,2018-07-28,2,65,99,240682.0,True,0.875,0.644,1.0,-6.554,1.0,0.222,0.267,0.0,0.125,0.788,139.086,4.0
3500Travi$ Scott Featuring Future & 2 Chainz,3500,Travi$ Scott Featuring Future & 2 Chainz,2015-06-27,2015-06-27,1,82,82,,,,,,,,,,,,,,
365Zedd & Katy Perry,365,Zedd & Katy Perry,2019-03-02,2019-03-02,1,86,86,181899.0,False,0.745,0.693,2.0,-5.479,0.0,0.034,0.339,0.0,0.123,0.248,98.039,4.0
3Britney Spears,3,Britney Spears,2010-01-02,2010-03-06,20,1,72,213173.0,False,0.697,0.709,5.0,-1.917,0.0,0.0455,0.0452,0.0,0.138,0.787,134.91,4.0
4 AM2 Chainz Featuring Travis Scott,4 AM,2 Chainz Featuring Travis Scott,2017-06-24,2017-09-09,12,55,95,,,,,,,,,,,,,,
4 AMMelanie Fiona,4 AM,Melanie Fiona,2012-02-18,2012-04-21,8,81,97,,,,,,,,,,,,,,
4 Da GangFuture,4 Da Gang,Future,2017-11-11,2017-11-11,1,92,92,187748.0,True,0.705,0.474,2.0,-7.534,1.0,0.355,0.0751,0.0,0.229,0.179,146.244,4.0
4 MinutesGlee Cast,4 Minutes,Glee Cast,2010-05-08,2010-05-08,1,89,89,189400.0,False,0.675,0.942,7.0,-3.096,0.0,0.0518,0.0052,0.000167,0.0764,0.414,112.938,4.0
4 My Town (Play Ball)Birdman Featuring Drake & Lil Wayne,4 My Town (Play Ball),Birdman Featuring Drake & Lil Wayne,2010-04-10,2010-04-24,3,97,98,261266.0,True,0.461,0.624,1.0,-6.909,1.0,0.278,0.0546,0.0,0.303,0.511,152.167,4.0
4 Your Eyez OnlyJ. Cole,4 Your Eyez Only,J. Cole,2016-12-31,2016-12-31,1,29,29,530253.0,True,0.704,0.481,11.0,-10.493,0.0,0.363,0.378,7.09e-05,0.0874,0.494,78.628,4.0
44 MoreLogic,44 More,Logic,2018-03-10,2018-04-07,5,22,85,188600.0,True,0.829,0.589,1.0,-7.055,1.0,0.202,0.0635,0.0,0.113,0.233,139.971,4.0
4422Drake Featuring Sampha,4422,Drake Featuring Sampha,2017-04-08,2017-04-15,2,50,82,186293.0,False,0.621,0.247,11.0,-12.291,0.0,0.0393,0.499,0.0239,0.113,0.221,111.974,4.0
444+222Lil Uzi Vert,444+222,Lil Uzi Vert,2017-09-16,2017-09-30,3,60,100,247347.0,True,0.791,0.513,10.0,-6.568,0.0,0.269,0.0235,2.83e-05,0.101,0.481,76.997,4.0
4:44JAY-Z,4:44,JAY-Z,2017-07-29,2017-08-05,2,35,61,,,,,,,,,,,,,,
4th DimensionKIDS SEE GHOSTS Featuring Louis Prima,4th Dimension,KIDS SEE GHOSTS Featuring Louis Prima,2018-06-23,2018-06-23,1,42,42,153351.0,True,0.765,0.542,1.0,-6.755,1.0,0.39,0.278,1.87e-05,0.609,0.734,171.945,4.0
5 O'ClockT-Pain Featuring Wiz Khalifa & Lily Allen,5 O'Clock,T-Pain Featuring Wiz Khalifa & Lily Allen,2011-10-15,2012-02-25,20,10,83,281533.0,True,0.4,0.882,7.0,-1.958,0.0,0.334,0.168,0.0,0.124,0.385,167.114,4.0
5% TintTravis Scott,5% Tint,Travis Scott,2018-08-18,2018-08-25,2,36,89,196138.0,True,0.712,0.481,4.0,-5.415,0.0,0.0487,0.173,0.0,0.241,0.062,140.0,4.0
5-1-5-0Dierks Bentley,5-1-5-0,Dierks Bentley,2012-05-26,2012-10-06,20,33,94,,,,,,,,,,,,,,
50 Ways To Say GoodbyeTrain,50 Ways To Say Goodbye,Train,2012-07-28,2012-12-08,20,20,98,247946.0,False,0.591,0.935,6.0,-2.664,1.0,0.0478,0.000284,0.000278,0.142,0.736,140.043,4.0
6 Foot 7 FootLil Wayne Featuring Cory Gunz,6 Foot 7 Foot,Lil Wayne Featuring Cory Gunz,2011-01-01,2011-05-21,21,9,44,248586.0,True,0.365,0.751,2.0,-5.429,1.0,0.304,0.000707,0.0,0.318,0.604,79.119,4.0
6 GodDrake,6 God,Drake,2015-03-07,2015-03-07,1,83,83,180666.0,True,0.857,0.639,2.0,-8.622,1.0,0.128,0.0239,0.0,0.121,0.477,105.504,4.0
6 InchBeyonce Featuring The Weeknd,6 Inch,Beyonce Featuring The Weeknd,2016-05-14,2016-05-28,3,18,82,260440.0,True,0.516,0.637,6.0,-8.832,1.0,0.0632,0.0433,3.89e-06,0.11,0.324,138.011,4.0
6 KissTrippie Redd Featuring Juice WRLD & YNW Melly,6 Kiss,Trippie Redd Featuring Juice WRLD & YNW Melly,2019-12-07,2019-12-28,4,60,100,199436.0,True,0.687,0.449,2.0,-10.061,1.0,0.154,0.109,0.0,0.282,0.229,142.048,4.0
6 ManDrake,6 Man,Drake,2015-03-07,2015-03-07,1,97,97,167653.0,True,0.798,0.529,8.0,-9.288,1.0,0.482,0.227,0.0,0.114,0.368,78.967,4.0
66Lil Yachty Featuring Trippie Redd,66,Lil Yachty Featuring Trippie Redd,2018-03-24,2018-03-24,1,73,73,153474.0,True,0.667,0.723,5.0,-4.31,0.0,0.27,0.0455,0.000179,0.213,0.251,148.057,4.0
679Fetty Wap Featuring Remy Boyz,679,Fetty Wap Featuring Remy Boyz,2015-07-18,2016-04-16,40,4,40,196693.0,True,0.618,0.717,7.0,-5.738,1.0,0.318,0.00256,0.0,0.625,0.603,190.05,4.0
7 RingsAriana Grande,7 Rings,Ariana Grande,2019-02-02,2019-09-14,33,1,43,178626.0,True,0.778,0.317,1.0,-10.732,0.0,0.334,0.592,0.0,0.0881,0.327,140.048,4.0
7 YearsLukas Graham,7 Years,Lukas Graham,2016-02-06,2016-10-08,36,2,96,237300.0,False,0.765,0.473,10.0,-5.829,1.0,0.0514,0.287,0.0,0.391,0.34,119.992,4.0
7/11Beyonce,7/11,Beyonce,2014-12-13,2015-04-25,20,13,51,,,,,,,,,,,,,,
8 Out Of 10Drake,8 Out Of 10,Drake,2018-07-14,2018-07-28,3,21,98,195720.0,True,0.529,0.69,2.0,-7.87,1.0,0.74,0.161,0.0,0.498,0.311,170.54,4.0
80s MercedesMaren Morris,80s Mercedes,Maren Morris,2016-11-05,2017-02-25,13,74,100,211767.0,False,0.485,0.834,9.0,-5.413,1.0,0.0715,0.0665,0.0,0.28,0.659,90.933,4.0
8Billie Eilish,8,Billie Eilish,2019-04-13,2019-04-13,1,79,79,173201.0,False,0.735,0.235,3.0,-13.239,1.0,0.315,0.698,0.00604,0.107,0.462,62.446,4.0
9 AM In DallasDrake,9 AM In Dallas,Drake,2010-07-03,2010-07-03,1,57,57,,,,,,,,,,,,,,
9 PieceRick Ross Featuring Lil Wayne Or T.I.,9 Piece,Rick Ross Featuring Lil Wayne Or T.I.,2011-05-28,2011-06-04,2,61,86,239986.0,True,0.684,0.647,11.0,-6.777,1.0,0.285,0.00266,0.0,0.309,0.179,145.156,4.0
92 ExplorerPost Malone,92 Explorer,Post Malone,2018-05-12,2018-05-26,3,40,98,211426.0,True,0.802,0.743,7.0,-4.82,0.0,0.0474,0.269,1.36e-06,0.121,0.877,146.03,4.0
99 ProblemsTony Lucca,99 Problems,Tony Lucca,2012-05-26,2012-05-26,1,58,58,143760.0,False,0.613,0.81,2.0,-4.115,1.0,0.0593,0.0222,0.0,0.206,0.875,166.019,4.0
9Drake,9,Drake,2016-05-21,2016-06-18,5,45,87,255786.0,True,0.7,0.721,2.0,-7.296,1.0,0.0447,0.000855,0.00112,0.257,0.0378,100.003,4.0
"A Boy Is A GunTyler, The Creator",A Boy Is A Gun,"Tyler, The Creator",2019-06-01,2019-06-01,1,74,74,210253.0,True,0.417,0.689,2.0,-8.302,0.0,0.178,0.575,0.0,0.496,0.505,79.568,4.0
A Case Of YouJames Wolpert,A Case Of You,James Wolpert,2013-11-23,2013-11-23,1,72,72,232660.0,False,0.613,0.229,8.0,-9.5,1.0,0.03,0.839,0.0,0.0997,0.502,94.109,4.0
A Girl Like YouEaston Corbin,A Girl Like You,Easton Corbin,2018-02-17,2018-02-17,1,98,98,217840.0,False,0.74,0.777,5.0,-4.405,1.0,0.0329,0.0178,1.27e-06,0.0665,0.834,104.989,4.0
A Guy Walks Into A BarTyler Farr,A Guy Walks Into A Bar,Tyler Farr,2015-01-17,2015-05-30,20,51,99,196000.0,False,0.428,0.78,0.0,-3.472,1.0,0.0373,0.083,0.0,0.115,0.431,147.986,4.0
A Guy With A GirlBlake Shelton,A Guy With A Girl,Blake Shelton,2016-12-03,2017-03-25,17,42,100,189466.0,False,0.552,0.893,0.0,-4.593,1.0,0.0383,0.0158,0.0,0.105,0.777,163.948,4.0
A Holly Jolly ChristmasBurl Ives,A Holly Jolly Christmas,Burl Ives,2017-01-07,2019-12-28,13,6,48,135533.0,False,0.683,0.375,0.0,-13.056,1.0,0.0303,0.579,0.0,0.076,0.888,140.467,4.0
A Holly Jolly ChristmasBurl Ives,A Holly Jolly Christmas,Burl Ives,2017-01-07,2019-12-28,13,6,48,135533.0,False,0.674,0.37,0.0,-12.937,1.0,0.0309,0.616,0.0,0.0781,0.862,140.352,4.0
A House Is Not A HomeGlee Cast,A House Is Not A Home,Glee Cast,2010-05-15,2010-05-15,1,70,70,282920.0,False,0.266,0.354,5.0,-6.133,0.0,0.0318,0.728,0.0,0.123,0.134,106.3,3.0
A LieFrench Montana Featuring The Weeknd & Max B,A Lie,French Montana Featuring The Weeknd & Max B,2017-08-05,2017-08-05,1,75,75,226790.0,True,0.516,0.792,1.0,-5.38,0.0,0.216,0.0235,0.0,0.404,0.524,121.189,5.0
A Light That Never ComesLinkin Park X Steve Aoki,A Light That Never Comes,Linkin Park X Steve Aoki,2013-10-05,2013-10-05,1,65,65,,,,,,,,,,,,,,
A Little Bit StrongerSara Evans,A Little Bit Stronger,Sara Evans,2011-01-15,2011-06-04,21,34,98,301986.0,False,0.536,0.65,2.0,-5.603,1.0,0.0337,0.282,1.16e-06,0.0876,0.288,147.93,4.0
A Little More Country Than ThatEaston Corbin,A Little More Country Than That,Easton Corbin,2010-01-23,2010-06-05,20,42,100,172226.0,False,0.484,0.61,11.0,-8.484,1.0,0.0363,0.0776,2.81e-06,0.102,0.584,84.365,4.0
A Little More SummertimeJason Aldean,A Little More Summertime,Jason Aldean,2016-08-06,2016-12-17,13,52,90,219546.0,False,0.482,0.823,9.0,-4.446,1.0,0.0661,0.0386,3.69e-05,0.0948,0.451,167.665,4.0
"A Little Party Never Killed Nobody (All We Got)Fergie, Q-Tip & GoonRock",A Little Party Never Killed Nobody (All We Got),"Fergie, Q-Tip & GoonRock",2013-06-01,2013-06-08,2,77,93,240906.0,False,0.763,0.653,5.0,-5.05,0.0,0.15,0.00876,5.46e-06,0.0854,0.477,130.025,4.0
A Little Too MuchShawn Mendes,A Little Too Much,Shawn Mendes,2015-02-21,2015-02-21,1,94,94,187026.0,False,0.553,0.507,11.0,-6.24,1.0,0.0304,0.473,0.0,0.108,0.57,83.093,4.0
A Lonely NightThe Weeknd,A Lonely Night,The Weeknd,2016-12-17,2016-12-17,1,69,69,220173.0,False,0.853,0.663,7.0,-6.955,0.0,0.0755,0.0431,8.65e-06,0.0891,0.864,113.999,4.0
A Lot21 Savage,A Lot,21 Savage,2019-01-05,2019-06-08,23,12,49,288624.0,True,0.837,0.636,1.0,-7.643,1.0,0.086,0.0395,0.00125,0.342,0.274,145.972,4.0
A Man Who Was Gonna Die YoungEric Church,A Man Who Was Gonna Die Young,Eric Church,2014-02-15,2014-02-15,1,89,89,193786.0,False,0.498,0.0969,11.0,-16.482,1.0,0.0435,0.951,0.0,0.105,0.39,144.077,4.0
A Million DreamsP!nk,A Million Dreams,P!nk,2018-11-10,2018-11-10,1,90,90,273640.0,False,0.312,0.499,7.0,-6.282,1.0,0.0397,0.272,0.0,0.0901,0.191,148.173,4.0
A Sky Full Of StarsColdplay,A Sky Full Of Stars,Coldplay,2014-05-17,2014-11-08,26,10,71,268466.0,False,0.551,0.636,6.0,-7.125,1.0,0.0281,0.00713,0.00203,0.217,0.153,124.996,4.0
A Thousand Bad TimesPost Malone,A Thousand Bad Times,Post Malone,2019-09-21,2019-10-05,3,29,88,221173.0,True,0.632,0.732,6.0,-3.498,1.0,0.092,0.105,1.15e-05,0.111,0.317,159.0,4.0
A Thousand Years (Part 2)Christina Perri Featuring Steve Kazee,A Thousand Years (Part 2),Christina Perri Featuring Steve Kazee,2012-12-01,2012-12-15,3,53,98,305893.0,False,0.272,0.281,10.0,-8.131,1.0,0.0307,0.618,0.0,0.111,0.152,138.856,3.0
A Thousand YearsChristina Perri,A Thousand Years,Christina Perri,2011-11-05,2012-04-28,26,31,95,285120.0,False,0.421,0.407,10.0,-7.445,1.0,0.0267,0.309,0.000961,0.11,0.161,139.028,3.0
A Thousand YearsSawyer Fredericks,A Thousand Years,Sawyer Fredericks,2015-05-30,2015-05-30,1,94,94,169836.0,False,0.435,0.407,5.0,-6.249,1.0,0.0282,0.345,0.0,0.0933,0.362,148.029,3.0
A Woman Like YouLee Brice,A Woman Like You,Lee Brice,2011-12-31,2012-05-19,20,33,96,209786.0,False,0.592,0.584,7.0,-7.422,1.0,0.0305,0.245,0.0,0.0862,0.371,160.048,4.0
A Year Without RainSelena Gomez & The Scene,A Year Without Rain,Selena Gomez & The Scene,2010-09-25,2011-01-15,8,35,100,234333.0,False,0.629,0.806,2.0,-5.264,0.0,0.0442,0.0102,1.72e-05,0.112,0.409,119.966,4.0
A$AP ForeverA$AP Rocky Featuring Moby,A$AP Forever,A$AP Rocky Featuring Moby,2018-04-21,2018-06-09,2,63,65,233061.0,True,0.469,0.78,10.0,-6.49,0.0,0.122,0.224,0.0,0.13,0.444,125.999,4.0
A-YOLady Gaga,A-YO,Lady Gaga,2016-11-12,2016-11-12,1,66,66,,,,,,,,,,,,,,
A.M.One Direction,A.M.,One Direction,2015-12-05,2015-12-05,1,94,94,,,,,,,,,,,,,,
ABCGlee Cast,ABC,Glee Cast,2011-12-24,2011-12-24,1,88,88,174000.0,False,0.753,0.948,1.0,-2.901,0.0,0.0781,0.16,0.0,0.353,0.771,99.009,4.0
ASMR21 Savage,ASMR,21 Savage,2019-01-05,2019-01-05,1,95,95,171713.0,True,0.84,0.543,1.0,-7.738,1.0,0.476,0.0399,0.0,0.117,0.161,170.067,4.0
ATMJ. Cole,ATM,J. Cole,2018-05-05,2018-06-02,5,6,89,216726.0,True,0.719,0.497,8.0,-7.661,1.0,0.681,0.115,0.0,0.0898,0.345,81.651,4.0
About The MoneyT.I. Featuring Young Thug,About The Money,T.I. Featuring Young Thug,2014-08-23,2015-01-03,20,42,99,270120.0,True,0.81,0.721,9.0,-4.964,0.0,0.265,0.0487,0.0,0.0886,0.552,101.997,4.0
About YouTrey Songz,About You,Trey Songz,2015-09-12,2015-10-03,3,83,98,196899.0,True,0.582,0.564,0.0,-4.066,0.0,0.0837,0.0959,0.0,0.26,0.718,204.002,4.0
AcapellaKarmin,Acapella,Karmin,2013-07-27,2013-09-14,8,72,98,198906.0,False,0.667,0.619,2.0,-4.933,1.0,0.151,0.126,0.0,0.101,0.427,169.865,4.0
Accidental RacistBrad Paisley Featuring LL Cool J,Accidental Racist,Brad Paisley Featuring LL Cool J,2013-04-27,2013-04-27,1,77,77,351173.0,False,0.608,0.602,7.0,-6.346,1.0,0.0393,0.507,0.0,0.129,0.393,139.954,4.0
According To YouOrianthi,According To You,Orianthi,2010-01-02,2010-05-08,21,17,48,200346.0,False,0.619,0.917,5.0,-2.582,1.0,0.0507,0.0233,1.21e-05,0.0986,0.552,131.002,4.0
Achy Breaky 2Buck 22 Featuring Billy Ray Cyrus,Achy Breaky 2,Buck 22 Featuring Billy Ray Cyrus,2014-03-01,2014-03-01,1,80,80,152221.0,False,0.654,0.726,9.0,-8.354,1.0,0.286,0.312,0.0,0.0603,0.94,74.009,4.0
AcquaintedThe Weeknd,Acquainted,The Weeknd,2015-09-19,2016-05-14,18,60,100,348853.0,True,0.372,0.477,7.0,-9.838,0.0,0.0497,0.484,0.0,0.0844,0.254,101.097,4.0
Act RightYo Gotti Featuring Jeezy & YG,Act Right,Yo Gotti Featuring Jeezy & YG,2013-09-21,2013-09-21,1,100,100,250773.0,True,0.885,0.615,8.0,-6.714,1.0,0.123,0.146,0.0,0.0651,0.598,97.999,4.0
